Sample Type,Z in mm,Contrast
14um_0.50r,32.849,0.19163458110342008
14um_0.50r,33.099,0.2110135901799018
14um_0.50r,30.699,0.16312469892705256
14um_0.50r,31.599,0.1710518279899691
14um_0.50r,31.649,0.17003736324133742
14um_0.50r,30.549,0.16002485044846773
14um_0.50r,34.349,0.3360281839492707
14um_0.50r,31.949,0.1739535089645391
14um_0.50r,31.299,0.16805353576660592
14um_0.50r,30.199,0.1629264749892648
14um_0.50r,30.999,0.16662075437425908
14um_0.50r,30.249,0.15602524828489692
14um_0.50r,31.149,0.1684454437774111
14um_0.50r,31.049,0.16869190812990253
14um_0.50r,30.349,0.158226597246129
14um_0.50r,30.899,0.16082299965609154
14um_0.50r,30.099,0.16813552397762954
14um_0.50r,31.399,0.17337369568530228
14um_0.50r,31.849,0.17770029600391118
14um_0.50r,30.449,0.16576673994275193
14um_0.50r,34.449,0.3757771042076553
14um_0.50r,31.749,0.1729170585653969
14um_0.50r,31.499,0.16897416213944794
14um_0.50r,30.799,0.1568771567976593
14um_0.50r,31.549,0.15994649847043035
14um_0.50r,30.649,0.15805669024519764
14um_0.50r,34.099,0.2861675110199296
14um_0.50r,30.599,0.1688720804526803
14um_0.50r,34.499,0.3889858394246872
14um_0.50r,31.699,0.1610834850621138
14um_0.50r,30.149,0.16451689924421242
14um_0.50r,34.049,0.28490256350363435
14um_0.50r,31.249,0.16096488040166854
14um_0.50r,31.999,0.1755102341429923
14um_0.50r,31.199,0.16057240149444815
14um_0.50r,30.299,0.1553098884749305
14um_0.50r,30.949,0.15478814033015947
14um_0.50r,30.849,0.16502123294795326
14um_0.50r,30.399,0.1638952276552072
14um_0.50r,31.099,0.16209550869737752
14um_0.50r,31.899,0.1792973193490012
14um_0.50r,31.349,0.1659847395277363
14um_0.50r,30.049,0.16572544280989618
14um_0.50r,31.799,0.17318379381151866
14um_0.50r,30.499,0.1534639238083784
14um_0.50r,34.399,0.35459428389805725
14um_0.50r,30.749,0.1626949188690993
14um_0.50r,31.449,0.17065340277868152
8um_0.25r,31.838,0.1757450836334274
8um_0.25r,32.388,0.18395352919820254
8um_0.25r,33.088,0.2118727674043897
8um_0.25r,33.538,0.23175689975051175
8um_0.25r,34.788,0.40458473097257175
8um_0.25r,30.338,0.15728133928343285
8um_0.25r,31.038,0.1634164382056808
8um_0.25r,32.488,0.19541322550927456
8um_0.25r,31.738,0.1682211554486727
8um_0.25r,30.438,0.15885390335111602
8um_0.25r,34.088,0.286727383091866
8um_0.25r,32.838,0.20165789139617896
8um_0.25r,34.188,0.2904151683628317
8um_0.25r,30.538,0.16701380782260006
8um_0.25r,32.588,0.19864955073927673
8um_0.25r,31.138,0.17144382889261617
8um_0.25r,30.238,0.16527902686035903
8um_0.25r,34.688,0.4343939435204139
8um_0.25r,31.938,0.1768998062893543
8um_0.25r,33.438,0.23039312148780616
8um_0.25r,33.188,0.21043076544022413
8um_0.25r,32.288,0.1821123817685414
8um_0.25r,34.488,0.3608429105147376
8um_0.25r,30.038,0.1574197724028173
8um_0.25r,31.338,0.16645957884949225
8um_0.25r,32.088,0.18251047144081683
8um_0.25r,29.988,0.15918313189981353
8um_0.25r,33.638,0.23605628901837747
8um_0.25r,30.838,0.1693405319908702
8um_0.25r,31.438,0.1650329100223012
8um_0.25r,30.738,0.16285068381282833
8um_0.25r,34.388,0.3136984785571519
8um_0.25r,33.938,0.2649546159900292
8um_0.25r,33.138,0.21559494934110635
8um_0.25r,32.788,0.2016400068589947
8um_0.25r,31.988,0.1828541337128065
8um_0.25r,32.338,0.18917061632211965
8um_0.25r,33.038,0.21016927167755844
8um_0.25r,34.288,0.32037905756719803
8um_0.25r,30.638,0.16058341646404684
8um_0.25r,31.538,0.17477994745759856
8um_0.25r,34.838,1.612224275491451
8um_0.25r,33.838,0.2572908435680161
8um_0.25r,33.738,0.24681973438936888
8um_0.25r,29.888,0.15685722265253355
8um_0.25r,32.188,0.1881156528858084
8um_0.25r,30.938,0.1637838692000096
8um_0.25r,31.238,0.1711348564441379
8um_0.25r,30.138,0.1702760080798947
8um_0.25r,34.588,0.39097520063491686
8um_0.25r,33.288,0.21964496647348916
8um_0.25r,32.438,0.18766933788880644
8um_0.25r,31.788,0.18374195612634248
8um_0.25r,30.488,0.16464200902461956
8um_0.25r,34.038,0.27864338165664704
8um_0.25r,32.988,0.20980587352030616
8um_0.25r,32.688,0.19852386093924643
8um_0.25r,33.588,0.2345411515123059
8um_0.25r,31.888,0.18202602998393577
8um_0.25r,34.738,0.4201865309784775
8um_0.25r,30.388,0.16083075303692107
8um_0.25r,31.088,0.16329149333994047
8um_0.25r,31.188,0.16638464182576604
8um_0.25r,30.288,0.14624862876822795
8um_0.25r,34.638,0.40863928632543056
8um_0.25r,33.488,0.23214339950315735
8um_0.25r,32.238,0.18866980474317457
8um_0.25r,34.138,0.28607429932093703
8um_0.25r,30.588,0.1599905691774099
8um_0.25r,31.688,0.17156689940017616
8um_0.25r,32.888,0.2057557156893503
8um_0.25r,32.538,0.19826171854035787
8um_0.25r,33.388,0.21847413673826144
8um_0.25r,33.988,0.27304318995013815
8um_0.25r,31.488,0.17472589579531045
8um_0.25r,30.788,0.17003324055170527
8um_0.25r,34.338,0.32705399891078635
8um_0.25r,32.738,0.19654289366464509
8um_0.25r,34.438,0.35221133758988776
8um_0.25r,30.088,0.1685301715023975
8um_0.25r,31.388,0.1760581372180069
8um_0.25r,31.638,0.17617889016739977
8um_0.25r,30.888,0.16638890912113177
8um_0.25r,29.938,0.16563299002041923
8um_0.25r,32.038,0.18495620730907406
8um_0.25r,33.688,0.23459119502074685
8um_0.25r,33.338,0.2117429450605399
8um_0.25r,30.988,0.16160452399398756
8um_0.25r,33.238,0.2086209188438288
8um_0.25r,33.788,0.25136980667259756
8um_0.25r,32.138,0.18568552985597997
8um_0.25r,29.838,0.161628342004093
8um_0.25r,32.938,0.20562136230591482
8um_0.25r,31.288,0.1676722049866878
8um_0.25r,30.188,0.16379496527333018
8um_0.25r,34.538,0.3812909455008715
8um_0.25r,32.638,0.19998219278540832
8um_0.25r,33.888,0.2620381562826294
8um_0.25r,34.238,0.30043710679503777
8um_0.25r,30.688,0.16991524560824106
8um_0.25r,31.588,0.1767544676412038
8um_0.50r,34.302,0.3486309105767648
8um_0.50r,34.502,0.4132466212936779
8um_0.50r,33.352,0.23877590252078956
8um_0.50r,31.552,0.17473322713354433
8um_0.50r,31.402,0.17700739224117817
8um_0.50r,32.452,0.2018053605822277
8um_0.50r,32.502,0.19317657569466504
8um_0.50r,30.252,0.16697785024627204
8um_0.50r,30.302,0.16294973793341777
8um_0.50r,33.452,0.24464452516489474
8um_0.50r,34.202,0.31660478118658386
8um_0.50r,34.652,1.7818994658725544
8um_0.50r,33.552,0.25430668776320847
8um_0.50r,30.552,0.1654758064067262
8um_0.50r,30.402,0.1651051366249016
8um_0.50r,33.252,0.2249901135967789
8um_0.50r,34.402,0.3764428096363383
8um_0.50r,32.352,0.19462176826121666
8um_0.50r,32.202,0.1802106902298728
8um_0.50r,31.252,0.17043533895077514
8um_0.50r,31.302,0.1732397320451
8um_0.50r,33.052,0.2223016702932671
8um_0.50r,33.852,0.2583540474339787
8um_0.50r,34.002,0.29557654282191304
8um_0.50r,30.452,0.16551272962833985
8um_0.50r,30.502,0.16684561752449467
8um_0.50r,31.352,0.17321008475591693
8um_0.50r,31.202,0.16693266726020842
8um_0.50r,33.752,0.25379526712344785
8um_0.50r,32.252,0.17950838696437027
8um_0.50r,32.302,0.19568789692072067
8um_0.50r,34.602,0.3506214426856774
8um_0.50r,32.552,0.18726559015991415
8um_0.50r,32.402,0.19761220678981817
8um_0.50r,31.452,0.17656732632138647
8um_0.50r,31.502,0.17036419336840475
8um_0.50r,33.652,0.24757770602686832
8um_0.50r,30.352,0.1634849149341112
8um_0.50r,30.202,0.16629996836632832
8um_0.50r,34.102,0.2997054764342141
8um_0.50r,33.952,0.2805852354434012
8um_0.50r,33.152,0.225261223652776
8um_0.50r,29.802,0.16317723301030587
8um_0.50r,29.952,0.16341450073212926
